value,category,icon,class
ali做鬼脸,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/alizuoguiliannew_thumb.gif,negative
ali哇,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/de/aliwanew_thumb.gif,positive
酷库熊顽皮,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/46/kxwanpi_thumb.gif,positive
bm可爱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/95/bmkeai_thumb.gif,positive
BOBO爱你,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/74/boaini_thumb.gif,positive
转发,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/02/lxhzhuanfa_thumb.gif,positive
得意地笑,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/lxhdeyidixiao_thumb.gif,positive
ppb鼓掌,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/ppbguzhang_thumb.gif,positive
din推撞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/dintuizhuang_thumb.gif,positive
moc转发,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/moczhuanfa_thumb.gif,positive
lt切克闹,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/73/ltqiekenao_thumb.gif,positive
笑哈哈,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_thumb.gif,positive
笑哈哈,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_thumb.gif,positive
转发,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/02/lxhzhuanfa_thumb.gif,positive
得意地笑,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/lxhdeyidixiao_thumb.gif,positive
噢耶,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3b/lxhxixi_thumb.gif,positive
偷乐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif,positive
泪流满面,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/64/lxhtongku_thumb.gif,negative
巨汗,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/lxhjuhan_thumb.gif,negative
抠鼻屎,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/lxhkoubishi_thumb.gif,negative
求关注,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ac/lxhqiuguanzhu_thumb.gif,negative
真V5,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3a/lxhv5_thumb.gif,positive
群体围观,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a8/lxhweiguan_thumb.gif,positive
hold住,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/05/lxhholdzhu_thumb.gif,neutral
羞嗒嗒,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_thumb.gif,neutral
非常汗,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/lxhpubuhan_thumb.gif,negative
许愿,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/87/lxhxuyuan_thumb.gif,negative
崩溃,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c7/lxhzhuakuang_thumb.gif,negative
好囧,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/lxhhaojiong_thumb.gif,negative
震惊,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e7/lxhchijing_thumb.gif,neutral
别烦我,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/lxhbiefanwo_thumb.gif,negative
不好意思,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/b4/lxhbuhaoyisi_thumb.gif,negative
纠结,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/1f/lxhjiujie_thumb.gif,negative
拍手,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/lxhguzhang_thumb.gif,positive
给劲,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a5/lxhgeili_thumb.gif,positive
好喜欢,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d6/lxhlike_thumb.gif,positive
好爱哦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/74/lxhainio_thumb.gif,positive
路过这儿,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ac/lxhluguo_thumb.gif,negative
悲催,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/lxhbeicui_thumb.gif,negative
不想上班,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6b/lxhbuxiangshangban_thumb.gif,negative
躁狂症,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ca/lxhzaokuangzheng_thumb.gif,negative
甩甩手,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/lxhshuaishuaishou_thumb.gif,positive
瞧瞧,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8b/lxhqiaoqiao_thumb.gif,neutral
同意,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/lxhtongyi_thumb.gif,positive
喝多了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a7/lxhheduole_thumb.gif,neutral
啦啦啦啦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/lxhlalalala_thumb.gif,positive
杰克逊,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e5/lxhjiekexun_thumb.gif,neutral
雷锋,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7a/lxhleifeng_thumb.gif,neutral
带感,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d2/lxhdaigan_thumb.gif,positive
亲一口,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/88/lxhqinyikou_thumb.gif,positive
飞个吻,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/lxhblowakiss_thumb.gif,positive
加油啊,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/03/lxhjiayou_thumb.gif,positive
七夕,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/lxhqixi_thumb.gif,positive
困死了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhkunsile_thumb.gif,negative
有鸭梨,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/lxhyouyali_thumb.gif,negative
右边亮了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ae/lxhliangle_thumb.gif,positive
撒花,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/b3/lxhfangjiala_thumb.gif,positive
好棒,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/lxhhaobang_thumb.gif,positive
想一想,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/lxhxiangyixiang_thumb.gif,neutral
下班,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f2/lxhxiaban_thumb.gif,positive
最右,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/lxhzuiyou_thumb.gif,neutral
丘比特,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/lxhqiubite_thumb.gif,positive
中箭,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/81/lxhzhongjian_thumb.gif,negative
互相膜拜,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3c/lxhhuxiangmobai_thumb.gif,positive
膜拜了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/52/lxhmobai_thumb.gif,positive
放电抛媚,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d0/lxhfangdianpaomei_thumb.gif,positive
霹雳,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/41/lxhshandian_thumb.gif,negative
被电,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ed/lxhbeidian_thumb.gif,negative
拍砖,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3b/lxhpaizhuan_thumb.gif,negative
互相拍砖,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5b/lxhhuxiangpaizhuan_thumb.gif,negative
采访,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8b/lxhcaifang_thumb.gif,neutral
发表言论,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f1/lxhfabiaoyanlun_thumb.gif,neutral
江南style,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/67/gangnamstyle_thumb.gif,positive
牛,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/24/lxhniu_thumb.gif,positive
玫瑰,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/lxhrose_thumb.gif,positive
赞啊,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhzan_thumb.gif,positive
推荐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/lxhtuijian_thumb.gif,positive
放假啦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/37/lxhfangjiale_thumb.gif,positive
萌翻,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/99/lxhmengfan_thumb.gif,positive
吃货,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ba/lxhgreedy_thumb.gif,positive
大南瓜,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/4d/lxhpumpkin_thumb.gif,positive
立志青年,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f9/lxhlizhiqingnian_thumb.gif,positive
得瑟,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ca/lxhdese_thumb.gif,positive
月儿圆,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/lxhyueeryuan_thumb.gif,neutral
微博三岁啦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/lxhweibo3yr_thumb.gif,positive
复活节,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d6/lxhfuhuojie_thumb.gif,positive
愚人节,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/21/lxhyurenjie_thumb.gif,positive
收藏,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/lxhshoucang_thumb.gif,positive
喜得金牌,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a2/lxhhappygold_thumb.gif,positive
夺冠感动,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/69/lxhduoguan_thumb.gif,positive
冠军诞生,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/2c/lxhguanjun_thumb.gif,positive
传火炬,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f2/lxhchuanhuoju_thumb.gif,positive
奥运金牌,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/06/lxhgold_thumb.gif,positive
奥运银牌,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/lxhbronze_thumb.gif,positive
奥运铜牌,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/lxhsilver_thumb.gif,positive
德国加油,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/12/germany_thumb.gif,positive
西班牙队加油,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/be/spain_thumb.gif,positive
葡萄牙队加油,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f8/portugal_thumb.gif,positive
意大利队加油,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/03/italy_thumb.gif,positive
耍花灯,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/be/lxhshuahuadeng_thumb.gif,positive
元宵快乐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/lxhyuanxiaohappy_thumb.gif,positive
吃元宵,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/52/lxhchitangyuan_thumb.gif,positive
金元宝,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9b/lxhjinyuanbao_thumb.gif,positive
红包拿来,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/bd/lxhhongbaonalai_thumb.gif,positive
福到啦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f4/lxhfudaola_thumb.gif,positive
放鞭炮,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/bd/lxhbianpao_thumb.gif,positive
大红灯笼,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/90/lxhdahongdenglong_thumb.gif,positive
拜年了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0c/lxhbainianle_thumb.gif,positive
龙啸,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/cd/lxhlongxiao_thumb.gif,positive
光棍节,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5b/lxh1111_thumb.gif,negative
带着微博去旅行,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ec/eventtravel_thumb.gif,positive
爱红包,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/aihongbao_thumb.gif,positive
拍照,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d5/lxhpz_thumb.gif,neutral
发红包,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ca/fahongbao_thumb.gif,positive
冰桶挑战,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8d/bttz_thumb.gif,positive
欢乐购车季,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/69/hlgcj_thumb.gif,positive
去旅行,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/qlx_thumb.gif,positive
肥皂,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e5/soap_thumb.gif,neutral
马上拜年,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/mashangbainian_thumb.gif,positive
求红包,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/49/lxhhongbao2014_thumb.gif,positive
微公益爱心,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/11/lxhgongyi_thumb.gif,positive
会员一周年,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/19/vipanniversary_thumb.gif,positive
